ï»¿,name_last,name_first,key_mlbam
15751,Harrington, Thomas,802419
15766,King, John,667463
15816,Liberatore, Matthew,669461
15889,Mlodzinski, Carmen,669387
16088,Severino, Luis,622663
16105,King, Michael,650633
16288,Bautista, FÃ©lix,642585
16299,Nelson, Ryne,669194
16307,Soto, Gregory,642397
16328,Cano, Yennier,666974
16357,Eflin, Zach,621107
16394,Gallen, Zac,668678
16621,Harvey, Hunter,640451
16640,Woods Richardson, Simeon,680573
16653,Lorenzen, Michael,547179
16836,Rea, Colin,607067
16849,Garabito, Gerson,642520
16879,Steele, Justin,657006
16934,Eovaldi, Nathan,543135
17093,Greene, Hunter,668881
17151,Doval, Camilo,666808
17167,Webb, Logan,657277
17377,Santos, Gregory,666619
17401,Wesneski, Hayden,669713
17428,Gilbert, Logan,669302
18050,Francis, Bowden,670102
18091,Peterson, David,656849
18366,SÃ¡nchez, Cristopher,650911
18448,Glasnow, Tyler,607192
18551,Leasure, Jordan,673929
18641,PÃ©rez, MartÃ­n,527048
18692,Jobe, Jackson,695549
18826,Criswell, Cooper,681867
18939,Graceffo, Gordon,700669
18993,Dobbins, Hunter,690928
19055,Mikolas, Miles,571945
19277,Keller, Brad,641745
19330,Gillaspie, Logan,670810
19349,Thielbar, Caleb,573204
19385,Brown, Ben,676962
19466,Hart, Kyle,606996
19666,Burnes, Corbin,669203
19677,Williams, Trevor,592866
19994,Heaney, Andrew,571760
20002,Headrick, Brent,687396
20065,Warren, Will,701542
20312,Woo, Bryan,693433
20335,Hicks, Jordan,663855
20574,Ortiz, Luis L.,682847
20612,Anderson, Tyler,542881
20887,Dollander, Chase,801403
20934,Estes, Joey,683155
21115,Povich, Cade,700249
21359,Suter, Brent,608718
21385,Patrick, Chad,694477
21423,Moll, Sam,594580
21446,Spiers, Carson,686730
21720,Rasmussen, Drew,656876
21733,Rocker, Kumar,677958
22008,McCaughan, Darren,670766
22065,Paddack, Chris,663978
22608,Quantrill, Cal,615698
22637,Smith-Shawver, AJ,700363
22852,Cruz, Omar,678316
23206,Holderman, Colin,670059
23497,Sasaki, Roki,808963
24224,Miller, Mason,695243
24237,Blalock, Bradley,687134
24612,Sugano, Tomoyuki,608372
24965,Arrighetti, Spencer,681293
25148,Thomas, Connor,671162
26529,Sanoja, Javier,691594
28020,Maeda, Kenta,628317
29804,Dana, Caden,702674
30428,Saucedo, Tayler,642048
31008,Cortes, Nestor,641482
33304,Leiter, Jack,683004
35603,Snell, Blake,605483
36633,Alcantara, Sandy,645261
39439,DÃ­az, Jhonathan,646242
40305,Duran, Ezequiel,677649
41269,Soroka, Michael,647336
41463,Castro, Willi,650489
43005,Pereda, Jhonny,640902
43411,Chavez, Jesse,445926
44254,Hancock, Emerson,676106
45367,Bauers, Jake,641343
45545,Civale, Aaron,650644
45927,Bednar, David,670280
46213,Dobnak, Randy,677976
47057,Neris, HÃ©ctor,593576
49332,Lovelady, Richard,663992
49372,Scherzer, Max,453286
51809,Harris, Hogan,663687
52843,SuÃ¡rez, Albert,544150
53980,LÃ³pez, Reynaldo,625643
54767,Tinoco, Jesus,622786
57025,Lopez, Nicky,670032
59416,Brasier, Ryan,518489
98,JimÃ©nez, Joe,641729
386,Lucchesi, Joey,664192
585,Waldron, Matt,663362
1019,Marsh, Alec,679525
1232,Guerrero, Luis,692285
1442,Farmer, Buck,571656
1529,Thompson, Keegan,624522
1542,Smyly, Drew,592767
1617,Kilian, Caleb,668873
